custom/mean_reward,custom/reward,custom/distance_covered,custom/center_lane_deviation,custom/total_reward,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/approx_kl,train/clip_fraction,train/loss,train/entropy_loss,train/std,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/clip_range,train/n_updates,train/learning_rate
0.04403307015412072,-10,19,0.5605401214042136,206.33896674220966,,,,,,,,,,,,,,,,,
,,,,,50,101,161.9008200909091,5120,5,426.0,,,,,,,,,,,
0.04086131911233303,-10,30,0.6369511884286069,212.3971367459071,,,,,,,0.0053092767,0.0431640625,3.6995527744293213,-2.8731684625148772,1.0198068618774414,0.8782928064465523,13.75973412692547,-0.014551586756715551,0.2,50,9.89888352256e-05
0.020180413789051416,-10,25,1.4880454930603217,114.10005956329671,,,,,,,,,,,,,,,,,
0.022032584547768463,-10,12,0.4704142906861152,132.48193088573177,,,,,,,,,,,,,,,,,
,,,,,49,124,159.99201064285714,6144,6,429.5,,,,,,,,,,,
0.003033671325692195,-10,6,0.8156232421127154,18.869435645805453,,,,,,,0.0043066097,0.01396484375,4.700500965118408,-2.879442946612835,1.0223058462142944,0.8303321897983551,14.421013662219048,-0.01471322780707851,0.2,60,9.8787225124864e-05
0.03201710055256868,-10,31,0.7682535394935344,217.30006145028364,,,,,,,,,,,,,,,,,
,,,,,50,143,154.753602875,7168,7,424.1875,,,,,,,,,,,
0.0248357288534961,-10,21,0.668089710911489,178.04734015071355,,,,,,,0.0050221914,0.03779296875,4.7019147872924805,-2.885930359363556,1.027235746383667,0.9152281209826469,13.245331388711929,-0.01715053279767744,0.2,70,9.858582264217601e-05
0.02966158229995604,-10,27,0.6514425045932628,227.62298256986267,,,,,,,,,,,,,,,,,
,,,,,50,161,160.0959982777778,8192,8,426.3333333333333,,,,,,,,,,,
0.03008719398983462,-10,30,0.49700818138533587,246.50438035871503,,,,,,,0.005138525,0.02783203125,3.256366491317749,-2.893985126912594,1.029540777206421,0.9196912422776222,14.040930369496346,-0.013553922076243907,0.2,80,9.838462777753601e-05
0.02178430088764753,-10,23,0.6954040867250794,188.02030096128584,,,,,,,,,,,,,,,,,
0.030288228414765594,-10,29,0.5450029225279228,278.8940072431616,,,,,,,,,,,,,,,,,
,,,,,49,184,171.19745985714286,9216,9,438.4761904761905,,,,,,,,,,,
0.02357532734779204,-10,30,0.8087343639031938,228.70425060093055,,,,,,,0.004917034,0.02939453125,6.8020477294921875,-2.8968650087714196,1.0304254293441772,0.9467719160020351,14.285533466935158,-0.01723471501027234,0.2,90,9.8183640530944e-05
0.02271600862701604,-10,29,0.7575105996331577,232.52106430613617,,,,,,,,,,,,,,,,,
,,,,,50,203,176.36399878260872,10240,10,445.04347826086956,,,,,,,,,,,
0.015864908624291227,-10,30,0.8808076371673291,169.86557664028615,,,,,,,0.007154338,0.0837890625,5.521737575531006,-2.8990107983350755,1.0318124294281006,0.959556084126234,10.552718716859818,-0.02231992267188616,0.2,100,9.79828609024e-05
0.02189011109226643,-10,29,0.6936279265868638,245.91350801052107,,,,,,,,,,,,,,,,,
,,,,,50,222,178.88604227999997,11264,11,449.36,,,,,,,,,,,
0.00169362475204032,-10,12,1.6604101257079769,19.385228911853503,,,,,,,0.0067030694,0.059375,4.1572136878967285,-2.9012867540121077,1.0327136516571045,0.947964008897543,11.631294944882393,-0.020857622593757695,0.2,110,9.778228889190399e-05
0.025945342916471024,-10,30,0.45294458898102463,312.485710085977,,,,,,,,,,,,,,,,,
,,,,,51,240,177.92674059259258,12288,12,446.0740740740741,,,,,,,,,,,
0.009498225082023254,-10,9,0.3273406802142447,116.7806773834759,,,,,,,0.007819493,0.04365234375,6.68931770324707,-2.9027287140488625,1.0334928035736084,0.921376995742321,21.226115334033967,-0.01955183171085082,0.2,120,9.758192449945601e-05
0.020607542641128684,-10,30,0.565315415311595,265.42514921773744,,,,,,,,,,,,,,,,,
,,,,,51,259,178.835442137931,13312,13,444.13793103448273,,,,,,,,,,,
0.017076478922548863,-10,27,0.6456985594366423,227.33916389589302,,,,,,,0.00623738,0.04375,5.223932266235352,-2.9050597861409186,1.0345653295516968,0.9444294907152653,16.554685631394385,-0.018678831018041818,0.2,130,9.738176772505601e-05
0.01878330739836976,-10,29,0.5905839190370702,260.05489093042934,,,,,,,,,,,,,,,,,
,,,,,51,278,183.02006054838705,14336,14,446.61290322580646,,,,,,,,,,,
0.020619685597207407,-10,29,0.3435955211835884,295.6244324071626,,,,,,,0.009820312,0.10751953125,3.1414616107940674,-2.908446416258812,1.0373684167861938,0.9722653832286596,9.172167021036149,-0.02131610547658056,0.2,140,9.718181856870401e-05
0.01940250796311637,-10,30,0.41759735240516777,289.11677115839706,,,,,,,,,,,,,,,,,
,,,,,51,297,189.64736606060606,15360,15,451.54545454545456,,,,,,,,,,,
0.016624371482997967,-10,36,0.557582201907691,256.9296612697336,,,,,,,0.0053265137,0.0349609375,15.156251907348633,-2.9132138207554816,1.0390557050704956,0.9415787048637867,23.33286425471306,-0.01823182906373404,0.2,150,9.698207703039999e-05
