custom/distance_covered,custom/reward,custom/center_lane_deviation,custom/mean_reward,custom/total_reward,time/fps,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean,train/std,train/learning_rate,train/n_updates,train/critic_loss,train/actor_loss,train/ent_coef_loss,train/ent_coef
8,-10,0.3144885924870664,0.0003073622943620678,37.13950811465174,,,,,,,,1.60905859072e-05,110848,1.3574408758431673,-1.5624227615771815,-3.0088465698063374,0.005934869906923268
23,-10,0.3570290315007303,0.00044847721205991474,54.27695458955118,,,,,,,,1.6015056332800002e-05,111040,1.43109159078449,-1.4933816799893975,-3.0869391607120633,0.005920195333601441
,,,,,40,123.92,2963,121025,876,21.426029639999996,0.04920217767357826,,,,,,
12,-10,0.5331616518652535,0.00020814784925366882,25.217736380629738,,,,,,,,1.5964805171200006e-05,111168,1.3905715579167008,-1.647223124280572,-3.151961160823703,0.005909301253268495
12,-10,0.3734281722447705,0.0002883870811357334,34.97616197430402,,,,,,,,1.5914635519999995e-05,111296,1.4181855581700802,-1.5893278112635016,-2.951950321905315,0.005898515795706771
10,-10,0.30881265298207383,0.00033933778932431597,41.19866166407588,,,,,,,,1.58645473792e-05,111424,1.27949800202623,-1.680814178660512,-3.411457766313106,0.0058886197657557204
11,-10,0.9081373482922248,3.459156959973331e-05,4.204155594442787,,,,,,,,1.58145407488e-05,111552,1.3388321693055332,-1.6301555503159761,-2.9411420123651624,0.005878693453269079
,,,,,40,124.57,2977,121537,880,22.091001199999997,0.04919668659567833,,,,,,
11,-10,0.9057976587641898,4.014749687884746e-05,4.884545207764976,,,,,,,,1.5764615628800003e-05,111680,1.47053905390203,-1.600449699908495,-3.4133975619915873,0.0058682883536675945
14,-10,0.7610825101708324,0.00016993841851280933,20.700878512719356,,,,,,,,1.5714772019200005e-05,111808,1.5708779841661453,-1.572892639786005,-3.2519001096952707,0.005857640477188397
25,-10,0.6792363633508872,0.00028669312337568307,34.9722606549827,,,,,,,,1.5640159436799998e-05,112000,1.372705397196114,-1.5262903990224004,-3.039831928908825,0.005842741717060562
3,-10,0.5249989795883605,-4.4334553170780286e-05,-5.411697232791296,,,,,,,,1.56153293312e-05,112064,1.3186168735846877,-1.5025492813438177,-3.5396036468446255,0.005837703043653164
,,,,,40,125.47,2992,122065,884,21.668611179999992,0.049189724028110504,,,,,,
12,-10,0.44720738857949216,0.00028908928607885946,35.3229525981176,,,,,,,,1.55657302528e-05,112192,1.3923123376443982,-1.544777538627386,-2.93388347979635,0.005827559805766214
2,-10,0.7129753703101914,-5.0857234165460966e-05,-6.218466593113408,,,,,,,,1.5540961280000004e-05,112256,1.3938201237469912,-1.487415567971766,-3.1713405046612024,0.005822767983772792
8,-10,0.5051877030470082,0.0002055765341026233,25.15619490160391,,,,,,,,1.5491484467199994e-05,112384,1.2784184329211712,-1.5495181335136294,-3.3067083419300616,0.005812518764287233
